Date;Tx_0606;UTC;Tn_1818;UTC;RR_0606;Tx_0024;UTC;Tn_0024;UTC;RR_0024;
Date;jj/mm/aaaa;deg.C;hh:mm;deg.C;hh:mm;mm;deg.C;hh:mm;deg.C;hh:mm;mm;
01/05/2013;33.3;14:05;24.3;05:30;0.0;33.3;14:05;24.3;05:30;0.0;
02/05/2013;33.4;14:30;24.4;06:40;0.0;33.4;14:30;24.4;06:40;0.0;
03/05/2013;34.2;13:10;24.6;06:10;4.8;34.2;13:10;24.6;06:10;0.2;
06/05/2013;21.9;06:00;24.6;06:10;2.2;25.6;00:00;-1838.2;18:13;6.8;
07/05/2013;18.4;17:50;-1838.2;18:13;0.0;18.4;17:50;-1838.2;00:00;0.0;
08/05/2013;24.4;14:40;-1838.2;16:55;0.0;24.4;14:40;-1838.2;16:55;0.0;
09/05/2013;27.3;14:45;15.8;06:20;0.0;27.3;14:45;-1838.2;19:25;0.0;
10/05/2013;29.8;13:45;-1838.2;19:25;0.0;29.8;13:45;18.4;05:40;0.0;
11/05/2013;31.3;14:55;20.4;09:40;34.4;31.3;14:55;20.4;09:40;6.0;
12/05/2013;21.0;15:35;19.4;07:20;7.6;25.1;00:35;19.4;07:20;36.0;
13/05/2013;22.3;10:15;20.0;21:40;10.4;22.3;10:15;20.2;00:50;10.4;
14/05/2013;23.3;15:20;19.4;03:25;27.8;23.3;15:20;-1838.2;23:35;23.4;
15/05/2013;24.1;12:10;-1838.2;23:35;9.4;24.1;12:10;-1838.2;00:00;13.8;
16/05/2013;15.3;14:30;11.0;08:20;0.0;15.3;14:30;-1838.2;19:00;0.0;
17/05/2013;14.3;01:40;-1838.2;19:00;0.0;10.8;07:55;-1838.2;08:00;0.0;
18/05/2013;19.6;00:40;-1838.2;18:00;1.0;18.9;17:55;-1838.2;00:00;1.0;
19/05/2013;19.3;12:30;16.7;16:15;0.2;19.6;00:40;16.2;23:10;0.0;
20/05/2013;17.3;12:05;14.6;06:45;0.0;17.3;12:05;-1838.2;18:15;0.2;
21/05/2013;19.8;15:00;-1838.2;18:15;0.4;19.8;15:00;16.1;03:20;0.0;
22/05/2013;17.2;06:00;16.1;12:50;3.0;17.8;00:00;-1838.2;19:05;3.4;
23/05/2013;18.2;12:00;-1838.2;19:05;0.0;18.2;12:00;15.0;04:15;0.0;
24/05/2013;19.8;13:50;13.5;06:25;0.2;19.8;13:50;13.1;23:55;0.0;
25/05/2013;23.3;15:00;12.9;00:15;0.0;23.3;15:00;12.9;00:15;0.2;
26/05/2013;24.4;13:25;16.8;04:40;0.0;24.4;13:25;16.8;04:40;0.0;
27/05/2013;27.2;12:25;16.1;06:20;0.0;27.2;12:25;16.1;06:20;0.0;
28/05/2013;29.2;14:45;22.2;06:15;0.0;29.2;14:45;-1838.2;19:45;0.0;
29/05/2013;29.2;12:30;-1838.2;19:45;0.0;29.2;12:30;16.3;23:55;0.0;
30/05/2013;22.5;14:00;11.7;04:55;0.0;22.5;14:00;-1838.2;18:50;0.0;
31/05/2013;24.6;14:25;-1838.2;18:50;0.8;22.5;14:00;-1838.2;18:50;0.0;
